;Número correlativo;Año;Nombre de Servicio;Ministerio;Codigo_de_Actividad_Ejecutada;Codigo_de_Actividad_Planificada;Nombred_del_la_Actividad;Especialidad_de_la_Actividad;Categoría_de_la_Actividad;Numero_de_Participantes;Numero_de_Horas;Tipo_de_Actividad;Estado_de_Actividad;Modalidad_de_Compra;Actividad_Planificada;Jornada;Proveedor;Region_de_Ejecucion_de_la_Actividad;Programa;Objetivo_Global;Objetivo_de_Gestion;Gasto_monto_Item001;Gasto_monto_Item002;Gasto_monto_Item003;Evaluaciones_Realizadas;Evaluación_de_Reacción;Metodología_de_Aprendizaje;Fecha_de_inicio;Fecha_de_Término;Fecha_de_Ingreso_Sistema
24446;146.0;2020;Ministerio de Economía, Fomento y Turismo;Superintendencia de Insolvencia y Reemprendimiento;553741.0;;Plataforma DocDigital;Eje Estratégico Sectorial;Computación e Informática;2.0;5.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;Ministerio Secretaría General de la Presidencia;Región Metropolitana de Santiago;;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-03-16;2020-03-31;2020-04-20
24447;147.0;2020;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;553761.0;490193.0;Estados Financieros (CGR);Comercio y Servicios Financieros;Comercio y Servicios Financieros;11.0;43.0;Curso;Terminada;Convenio Marco;Si;Dentro de la Jornada Laboral;VERONICA BAEZA CAPACITACION EIRL;Nivel Central;;;;4417875.0;0.0;0.0;Aprendizaje;;E-Learning/Video Conferencia;2020-03-30;2020-04-24;2020-05-18
24448;148.0;2020;Ministerio del Interior y Seguridad Pública;Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol;553781.0;490196.0;Gestión Documental;Administración General;Administración y Logística;62.0;8.0;Curso;Terminada;Convenio Marco;Si;Dentro de la Jornada Laboral;Servicio Integral de Capacitación Empresarial Ltda.;Región Metropolitana de Santiago;;;;799978.0;0.0;0.0;Sin evaluación;;Presencial;2020-03-12;2020-03-12;2020-06-03
24449;149.0;2020;Ministerio de Transportes y Telecomunicaciones;Secretaría y Administración General de Transportes;553841.0;;ANÁLISIS DE DATOS;Eje Estratégico Sectorial;Administración y Logística;1.0;86.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;SENCE;En todas las Regiones;FISCALIZACIÓN Y CONTROL;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-01;2020-04-30;2020-09-30
24450;150.0;2020;Ministerio de Transportes y Telecomunicaciones;Secretaría y Administración General de Transportes;553861.0;;COMPUTACIÓN BÁSICA;Uso y Soporte de Programas de Escritorio;Computación e Informática;1.0;18.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;SENCE;En todas las Regiones;SUBTRANS;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-01;2020-04-30;2020-04-21
24451;151.0;2020;Ministerio de Transportes y Telecomunicaciones;Secretaría y Administración General de Transportes;553862.0;;DERECHOS HUMANOS PARA FUNCIONARIOS Y FUNCIONARIAS PÚBLICO/AS;Leyes y Normas de Administración Central del Estado;Legislación;2.0;6.0;Curso;Terminada;Sin costo;No;Dentro y Fuera de la Jornada Laboral;SUBSECRETARÍA DE DERECHOS HUMANOS;En todas las Regiones;SUBTRANS;;;0.0;0.0;0.0;Sin evaluación;;E-Learning;2020-04-01;2020-04-30;2020-04-21
24452;375.0;2020;Ministerio de Justicia y Derechos Humanos;Servicio de Registro Civil e Identificación;563681.0;;EXCEL BÁSICO,INTERMEDIO Y AVANZADO 1;Administración General;Administración y Logística;57.0;12.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;Servicio Registro Civil e Identificacion;En todas las Regiones;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-04-14;2020-05-13;2020-05-28
24453;376.0;2020;Ministerio de Transportes y Telecomunicaciones;Secretaría y Administración General de Transportes;563682.0;;P05_FISCA_Cómo aumentar la resiliencia;Atención de usuarios;Herramientas de Apoyo Conductuales-Relacional;1.0;1.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;SENCE;En todas las Regiones;FISCALIZACIÓN Y CONTROL;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-05-01;2020-05-29;2020-05-28
24454;377.0;2020;Ministerio del Interior y Seguridad Pública;Dirección de Previsión de Carabineros de Chile;563701.0;;CURSO ÉTICA TRANSPARENCIA Y LOBBY PARA EL SECTOR PÚBLICO;Leyes y Normas de Administración Central del Estado;Legislación;2.0;8.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;CONTRALORIA GENERAL DE LA REPUBLICA;Nivel Central;;;;0.0;0.0;0.0;Aprendizaje;;E-Learning;2020-05-13;2020-06-22;2020-06-04
24455;378.0;2020;Ministerio del Trabajo y Previsión Social;Superintendencia de Seguridad Social;563721.0;;Orientación en Prevención de Riesgos;Herramientas para la Prevención de Riesgos;Herramientas de Control y Seguridad en Lugar de Trabajo;4.0;4.0;Curso;Terminada;Sin costo;No;Dentro de la Jornada Laboral;Instituto de Seguridad Laboral;Región Metropolitana de Santiago;;;;0.0;0.0;0.0;Sin evaluación;;Presencial;2020-01-30;2020-01-30;2020-05-29
